web-scraper-order,web-scraper-start-url,pokemon_normaux,pokemon_normaux-href,id_pokemon,nom_pokemon,taille,poids,Points de vie de base,Attaque de base,Défense de base,Attaque spéciale de base,Défense spéciale de base,Vitesse de base,Type_pokemon1-src
"1530535057-1607","https://ivpokemon.fr/liste-pokemon","Regice","https://ivpokemon.fr/infos-pokemon?id=378","#378","Regice","1.8 m","175 kg","80","50","100","100","200","50","https://ivpokemon.fr/ressources/images/types/15.png"
"1530534868-1473","https://ivpokemon.fr/liste-pokemon","Maganon","https://ivpokemon.fr/infos-pokemon?id=467","#467","Maganon","1.6 m","68 kg","75","95","67","125","95","83","https://ivpokemon.fr/ressources/images/types/10.png"
"1530534443-1190","https://ivpokemon.fr/liste-pokemon","Excavarenne","https://ivpokemon.fr/infos-pokemon?id=660","#660","Excavarenne","1 m","42.4 kg","85","56","77","50","77","78","https://ivpokemon.fr/ressources/images/types/1.png"
"1530534388-1153","https://ivpokemon.fr/liste-pokemon","Sepiatop","https://ivpokemon.fr/infos-pokemon?id=686","#686","Sepiatop","0.4 m","3.5 kg","53","54","53","37","46","45","https://ivpokemon.fr/ressources/images/types/17.png"
"1530535061-1610","https://ivpokemon.fr/liste-pokemon","Métalosse","https://ivpokemon.fr/infos-pokemon?id=376","#376","Métalosse","1.6 m","550 kg","80","135","130","95","90","70","https://ivpokemon.fr/ressources/images/types/14.png"
"1530534704-1369","https://ivpokemon.fr/liste-pokemon","Scobolide","https://ivpokemon.fr/infos-pokemon?id=544","#544","Scobolide","1.2 m","58.5 kg","40","55","99","40","79","47","https://ivpokemon.fr/ressources/images/types/4.png"
"1530534471-1209","https://ivpokemon.fr/liste-pokemon","Keldeo","https://ivpokemon.fr/infos-pokemon?id=647","#647","Keldeo","1.4 m","48.5 kg","91","72","90","129","90","108","https://ivpokemon.fr/ressources/images/types/11.png"
"1530534381-1147","https://ivpokemon.fr/liste-pokemon","Golgopathe","https://ivpokemon.fr/infos-pokemon?id=689","#689","Golgopathe","1.3 m","96 kg","72","105","115","54","86","68","https://ivpokemon.fr/ressources/images/types/6.png"
"1530534598-1305","https://ivpokemon.fr/liste-pokemon","Emolga","https://ivpokemon.fr/infos-pokemon?id=587","#587","Emolga","0.4 m","5 kg","55","75","60","75","60","103","https://ivpokemon.fr/ressources/images/types/13.png"
"1530535682-1957","https://ivpokemon.fr/liste-pokemon","Ronflex","https://ivpokemon.fr/infos-pokemon?id=143","#143","Ronflex","2.1 m","460 kg","160","110","65","65","110","30","https://ivpokemon.fr/ressources/images/types/1.png"
"1530535324-1747","https://ivpokemon.fr/liste-pokemon","Gardevoir","https://ivpokemon.fr/infos-pokemon?id=282","#282","Gardevoir","1.6 m","48.4 kg","68","65","65","125","115","80","https://ivpokemon.fr/ressources/images/types/14.png"
"1530534895-1493","https://ivpokemon.fr/liste-pokemon","Coatox","https://ivpokemon.fr/infos-pokemon?id=454","#454","Coatox","1.3 m","44.4 kg","83","106","65","86","65","85","https://ivpokemon.fr/ressources/images/types/2.png"
"1530535059-1608","https://ivpokemon.fr/liste-pokemon","Regirock","https://ivpokemon.fr/infos-pokemon?id=377","#377","Regirock","1.7 m","230 kg","80","100","200","50","100","50","https://ivpokemon.fr/ressources/images/types/6.png"
"1530535618-1914","https://ivpokemon.fr/liste-pokemon","Mélo","https://ivpokemon.fr/infos-pokemon?id=173","#173","Mélo","0.3 m","3 kg","50","25","28","45","55","15","https://ivpokemon.fr/ressources/images/types/18.png"
"1530535498-1873","https://ivpokemon.fr/liste-pokemon","Feuforêve","https://ivpokemon.fr/infos-pokemon?id=200","#200","Feuforêve","0.7 m","1 kg","60","60","60","85","85","85","https://ivpokemon.fr/ressources/images/types/8.png"
"1530535829-2057","https://ivpokemon.fr/liste-pokemon","Racaillou","https://ivpokemon.fr/infos-pokemon?id=74","#74","Racaillou","0.4 m","20 kg","40","80","100","30","30","20","https://ivpokemon.fr/ressources/images/types/5.png"
"1530534755-1403","https://ivpokemon.fr/liste-pokemon","Colombeau","https://ivpokemon.fr/infos-pokemon?id=520","#520","Colombeau","0.6 m","15 kg","62","77","62","50","42","65","https://ivpokemon.fr/ressources/images/types/1.png"
"1530535390-1797","https://ivpokemon.fr/liste-pokemon","Celebi","https://ivpokemon.fr/infos-pokemon?id=251","#251","Celebi","0.6 m","5 kg","100","100","100","100","100","100","https://ivpokemon.fr/ressources/images/types/12.png"
"1530534189-1003","https://ivpokemon.fr/liste-pokemon","Mimiqui","https://ivpokemon.fr/infos-pokemon?id=778","#778","Mimiqui","0.2 m","0.7 kg","55","90","80","50","105","96","https://ivpokemon.fr/ressources/images/types/6.png"
"1530535462-1847","https://ivpokemon.fr/liste-pokemon","Ursaring","https://ivpokemon.fr/infos-pokemon?id=217","#217","Ursaring","1.8 m","125.8 kg","90","130","75","75","75","55","https://ivpokemon.fr/ressources/images/types/1.png"
"1530534185-998","https://ivpokemon.fr/liste-pokemon","Draïeul","https://ivpokemon.fr/infos-pokemon?id=780","#780","Draïeul","3 m","185 kg","78","60","85","135","91","36","https://ivpokemon.fr/ressources/images/types/1.png"
"1530535981-2119","https://ivpokemon.fr/liste-pokemon","Nidorina","https://ivpokemon.fr/infos-pokemon?id=30","#30","Nidorina","0.8 m","20 kg","70","62","67","55","55","56","https://ivpokemon.fr/ressources/images/types/4.png"
"1530534263-1055","https://ivpokemon.fr/liste-pokemon","Rocabot","https://ivpokemon.fr/infos-pokemon?id=744","#744","Rocabot","0.5 m","9.2 kg","45","65","40","30","40","60","https://ivpokemon.fr/ressources/images/types/6.png"
"1530534936-1525","https://ivpokemon.fr/liste-pokemon","Mouflair","https://ivpokemon.fr/infos-pokemon?id=435","#435","Mouflair","1 m","38 kg","103","93","67","71","61","84","https://ivpokemon.fr/ressources/images/types/17.png"
"1530534963-1543","https://ivpokemon.fr/liste-pokemon","Sancoki","https://ivpokemon.fr/infos-pokemon?id=422","#422","Sancoki","0.3 m","6.3 kg","76","48","48","57","62","34","https://ivpokemon.fr/ressources/images/types/11.png"
"1530534356-1127","https://ivpokemon.fr/liste-pokemon","Brutalibré","https://ivpokemon.fr/infos-pokemon?id=701","#701","Brutalibré","0.8 m","21.5 kg","78","92","75","74","63","118","https://ivpokemon.fr/ressources/images/types/3.png"
"1530535957-2103","https://ivpokemon.fr/liste-pokemon","Nosferapti","https://ivpokemon.fr/infos-pokemon?id=41","#41","Nosferapti","0.8 m","7.5 kg","40","45","35","30","40","55","https://ivpokemon.fr/ressources/images/types/4.png"
"1530535337-1760","https://ivpokemon.fr/liste-pokemon","Nirondelle","https://ivpokemon.fr/infos-pokemon?id=276","#276","Nirondelle","0.3 m","2.3 kg","40","55","30","30","30","85","https://ivpokemon.fr/ressources/images/types/3.png"
"1530534676-1348","https://ivpokemon.fr/liste-pokemon","Crabicoque","https://ivpokemon.fr/infos-pokemon?id=557","#557","Crabicoque","0.3 m","14.5 kg","50","65","85","35","35","55","https://ivpokemon.fr/ressources/images/types/7.png"
"1530535066-1613","https://ivpokemon.fr/liste-pokemon","Terhal","https://ivpokemon.fr/infos-pokemon?id=374","#374","Terhal","0.6 m","95.2 kg","40","55","80","35","60","30","https://ivpokemon.fr/ressources/images/types/9.png"
"1530534328-1105","https://ivpokemon.fr/liste-pokemon","Sonistrelle","https://ivpokemon.fr/infos-pokemon?id=714","#714","Sonistrelle","0.5 m","8 kg","40","30","35","45","40","55","https://ivpokemon.fr/ressources/images/types/3.png"
"1530534659-1334","https://ivpokemon.fr/liste-pokemon","Mégapagos","https://ivpokemon.fr/infos-pokemon?id=565","#565","Mégapagos","1.2 m","81 kg","74","108","133","83","65","32","https://ivpokemon.fr/ressources/images/types/11.png"
"1530535454-1840","https://ivpokemon.fr/liste-pokemon","Cohignon","https://ivpokemon.fr/infos-pokemon?id=221","#221","Cohignon","1.1 m","55.8 kg","100","100","80","60","60","50","https://ivpokemon.fr/ressources/images/types/15.png"
"1530535490-1868","https://ivpokemon.fr/liste-pokemon","Pomdepik","https://ivpokemon.fr/infos-pokemon?id=204","#204","Pomdepik","0.6 m","7.2 kg","50","65","90","35","35","15","https://ivpokemon.fr/ressources/images/types/7.png"
"1530535623-1917","https://ivpokemon.fr/liste-pokemon","Lanturn","https://ivpokemon.fr/infos-pokemon?id=171","#171","Lanturn","1.2 m","22.5 kg","125","58","58","76","76","67","https://ivpokemon.fr/ressources/images/types/13.png"
"1530535163-1682","https://ivpokemon.fr/liste-pokemon","Karknoix","https://ivpokemon.fr/infos-pokemon?id=328","#328","Karknoix","0.7 m","15 kg","45","100","45","45","45","10","https://ivpokemon.fr/ressources/images/types/5.png"
"1530535716-1980","https://ivpokemon.fr/liste-pokemon","Scarabrute","https://ivpokemon.fr/infos-pokemon?id=127","#127","Scarabrute","1.5 m","55 kg","65","125","100","55","70","85","https://ivpokemon.fr/ressources/images/types/7.png"
"1530535335-1758","https://ivpokemon.fr/liste-pokemon","Hélédelle","https://ivpokemon.fr/infos-pokemon?id=277","#277","Hélédelle","0.7 m","19.8 kg","60","85","60","50","50","125","https://ivpokemon.fr/ressources/images/types/3.png"
"1530534849-1458","https://ivpokemon.fr/liste-pokemon","Tarinorme","https://ivpokemon.fr/infos-pokemon?id=476","#476","Tarinorme","1.4 m","340 kg","60","55","145","75","150","40","https://ivpokemon.fr/ressources/images/types/6.png"
"1530534989-1561","https://ivpokemon.fr/liste-pokemon","Dinoclier","https://ivpokemon.fr/infos-pokemon?id=410","#410","Dinoclier","0.5 m","57 kg","30","42","118","42","88","30","https://ivpokemon.fr/ressources/images/types/9.png"
"1530535589-1894","https://ivpokemon.fr/liste-pokemon","Granivol","https://ivpokemon.fr/infos-pokemon?id=187","#187","Granivol","0.4 m","0.5 kg","35","35","40","35","55","50","https://ivpokemon.fr/ressources/images/types/3.png"
"1530534708-1372","https://ivpokemon.fr/liste-pokemon","Manternel","https://ivpokemon.fr/infos-pokemon?id=542","#542","Manternel","1.2 m","20.5 kg","75","103","80","70","80","92","https://ivpokemon.fr/ressources/images/types/7.png"
"1530534857-1465","https://ivpokemon.fr/liste-pokemon","Scorvol","https://ivpokemon.fr/infos-pokemon?id=472","#472","Scorvol","2 m","42.5 kg","75","95","125","45","75","95","https://ivpokemon.fr/ressources/images/types/5.png"
"1530535347-1768","https://ivpokemon.fr/liste-pokemon","Lombre","https://ivpokemon.fr/infos-pokemon?id=271","#271","Lombre","1.2 m","32.5 kg","60","50","50","60","70","50","https://ivpokemon.fr/ressources/images/types/11.png"
"1530534665-1339","https://ivpokemon.fr/liste-pokemon","Tutafeh","https://ivpokemon.fr/infos-pokemon?id=562","#562","Tutafeh","0.5 m","1.5 kg","38","30","85","55","65","30","https://ivpokemon.fr/ressources/images/types/8.png"
"1530535802-2033","https://ivpokemon.fr/liste-pokemon","Lamantine","https://ivpokemon.fr/infos-pokemon?id=87","#87","Lamantine","1.7 m","120 kg","90","70","80","70","95","70","https://ivpokemon.fr/ressources/images/types/11.png"
"1530534539-1265","https://ivpokemon.fr/liste-pokemon","Hexagel","https://ivpokemon.fr/infos-pokemon?id=615","#615","Hexagel","1.1 m","148 kg","70","50","30","95","135","105","https://ivpokemon.fr/ressources/images/types/15.png"
